Payout Date,Consignor,,Issued By,Payout Type,Total Payout,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,Category,,
06-30-2025,Alexis Ellis - 02T,,Annie Zhou,Print List,$905.80,,,,,,,,,,Jackets,"$3,405.14",12.15%,,1,Brown Paper Bag ,,295,$73.75,$73.75,$73.75,$0.00,,,,Jackets,"$1,795.68",23.82%
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,Tees,"$2,302.82",8.22%,,0000AU,Dog vs. Food Postcard ,2025-06-30 17:18:57,1,$4.99,$0.00,$4.99,$4.99,Prints,,,Tees,"$1,164.59",15.45%
arizona camo capri bow cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$38.00,06-03-2025,15394,80.00%,$38.00,,$30.40,Shorts/Jorts,,,,,,,Lingerie,"$2,165.00",7.73%,,,,,,,,,,,,,Hoodies,$876.79,11.63%
vintage/y2k deal $20 <3 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$20.00,06-03-2025,15394,80.00%,$20.00,,$16.00,Lingerie,,,,,,,Necklaces,"$1,938.00",6.92%,,0002LI,Oasis Treasure Dubai Chocolate Pistachio ,,11,$120.89,$120.89,$120.89,$0.00,Prepackaged Snacks,,,Jeans ,$643.35,8.54%
vintage/y2k deal $15 <3 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$15.00,06-03-2025,15394,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,Stickers,"$1,635.21",5.84%,,0002K3,Oreo Biscuit Peach Oolong ,,6,$33.00,$14.70,$33.00,$18.30,Prepackaged Snacks,,,Shorts/Jorts,$484.86,6.43%
Abercombie denim mini cute,$26.00,06-04-2025,15409,80.00%,$26.00,,$20.80,Shorts/Jorts,,,,,,,Nails,"$1,606.20",5.73%,,0002UA,Oreo Matcha Flavor ,,6,$33.00,$20.94,$33.00,$12.06,Prepackaged Snacks,,,Prepackaged Snacks,$415.58,5.51%
$20 cutie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$20.00,06-04-2025,15427,80.00%,$20.00,,$16.00,Tank tops ,,,,,,,Shorts/Jorts,"$1,439.94",5.14%,,0002UC,Oreo Strawberry Cream Flavor ,,4,$22.00,$11.16,$22.00,$10.84,Prepackaged Snacks,,,Button Ups,$318.92,4.23%
vintage shortie 𝖉𝖊𝖓𝖎𝖒 𝖉𝖗𝖔𝖕,$30.00,06-05-2025,15444,80.00%,$30.00,,$24.00,Shorts/Jorts,,,,,,,Earrings,"$1,355.00",4.84%,,0002K4,Oreo Ultra Thin Biscuit Rose 0 Sugar ,,3,$16.50,$8.10,$16.50,$8.40,Prepackaged Snacks,,,Long Sleeves,$282.93,3.75%
wet seal denim shortie perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$30.00,06-05-2025,15451,80.00%,$30.00,,$24.00,Shorts/Jorts,,,,,,,Skirts,"$1,178.00",4.20%,,0002VQ,Oreo Grape and Peach ,,4,$22.00,$7.96,$22.00,$14.04,Prepackaged Snacks,,,Coats,$244.96,3.25%
vintage boom boom jeans denim lace bb <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$38.00,06-06-2025,15467,80.00%,$38.00,,$30.40,Jeans ,,,,,,,Jeans ,"$1,132.89",4.04%,,328,Oreo Blueberry and Raspberry ,2025-06-17 14:14:56,3,$16.50,$8.97,$16.50,$7.53,Prepackaged Snacks,,,Sportswear,$244.92,3.25%
vintage boom boom shortie 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$38.00,06-06-2025,15480,80.00%,$38.00,,$30.40,Shorts/Jorts,,,,,,,Prints,"$1,099.72",3.93%,,00027L,Skittles Candy Berry Flavor 40g ,,3,$11.97,$4.11,$11.97,$7.86,Prepackaged Snacks,,,Overalls,$219.97,2.92%
vintage liz & co red buckle cutie•*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,$25.00,06-07-2025,15527,80.00%,$25.00,,$20.00,Bags,,,,,,,Tank tops ,"$1,006.50",3.59%,,0001ZT,Skittles Soft Gummy Fruit Mix Flavor ,2025-06-12 15:04:02,2,$13.98,$5.98,$13.98,$8.00,Prepackaged Snacks,,,Bags,$172.96,2.29%
vintage 90s sweater tank apys <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$30.00,06-08-2025,15544,80.00%,$30.00,,$24.00,Sweaters,,,,,,,Long Sleeves,$918.99,3.28%,,00027M,Skittles Mini - Colorful and Fruity Gummy 25g ,2025-06-13 18:53:02,2,$5.98,$3.50,$5.98,$2.48,Prepackaged Snacks,,,Tank tops ,$103.96,1.38%
vintage southpole layered tee 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$28.00,06-08-2025,15558,80.00%,$28.00,,$22.40,Tees,,,,,,,Keychains,$797.82,2.85%,,0002DR,Banana Milk Gummy Peelable Candy ,2025-06-17 14:14:56,1,$4.99,$1.99,$4.99,$3.00,Prepackaged Snacks,,,Dresses,$96.98,1.29%
Vintage ed hardy tee 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$32.00,06-09-2025,15582,80.00%,$32.00,,$25.60,Tees,,,,,,,Bags,$606.99,2.17%,,0001K5,Mango Gummy 8D Peelable Candy Containing Concentrate Gummy ,,5,$24.95,$9.95,$24.95,$15.00,Prepackaged Snacks,,,Vests,$93.98,1.25%
iz byer california white stripe blazer 𝖈𝖔𝖗𝖕𝖔𝖗𝖆𝖙𝖊 𝖖𝖚𝖊𝖊𝖓,$30.00,06-10-2025,15609,80.00%,$30.00,,$24.00,Jackets,,,,,,,Blouses,$562.45,2.01%,,0002K1,Kasugai Lychee Hard Candy ,,5,$24.95,$13.25,$24.95,$11.70,Prepackaged Snacks,,,Blouses,$92.98,1.23%
vintage shortie stripe 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$30.00,06-10-2025,15610,80.00%,$30.00,,$24.00,Shorts/Jorts,,,,,,,Hoodies,$553.98,1.98%,,0002QQ,Hi-Chew Tropical Mix Candy ,2025-06-07 16:57:08,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,,Sweaters,$88.98,1.18%
y2k vintage harley davidson zip ss,$42.00,06-11-2025,15660,80.00%,$42.00,,$33.60,Jackets,,,,,,,Dresses,$551.50,1.97%,,0002QP,Hi-Chew Fantasy Mix Candy ,2025-06-08 14:38:05,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,,Athleticwear,$79.98,1.06%
vintage spring coach bag good  •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,$60.00,06-12-2025,15678,80.00%,$60.00,,$48.00,Bags,,,,,,,Crochet Accessories,$453.00,1.62%,,0002QM,Hi-Chew Sweet & Sour Mix Candy ,2025-06-11 16:18:54,2,$11.98,$6.58,$11.98,$5.40,Prepackaged Snacks,,,Crewnecks,$51.98,0.69%
looted on the low belts,$10.00,06-13-2025,15704,80.00%,$10.00,,$8.00,Belts,,,,,,,Phone Charms,$354.96,1.27%,,0002UD,Cheetos Japanese Steak Flavor ,2025-06-15 14:11:16,2,$7.98,$3.98,$7.98,$4.00,Prepackaged Snacks,,,Skirts,$29.99,0.40%
juicy couture military perfection jacket <3 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,$72.00,06-13-2025,15709,80.00%,$72.00,,$57.60,Jackets,,,,,,,Bracelets,$334.00,1.19%,,0002QL,Lays Grilled Pork Chips ,2025-06-15 14:11:16,2,$7.98,$3.58,$7.98,$4.40,Prepackaged Snacks,,,Lingerie,$27.99,0.37%
pink celebrity shortie cutie olive ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$38.00,06-14-2025,15755,80.00%,$38.00,,$30.40,Shorts/Jorts,,,,,,,Tumblers,$324.53,1.16%,,0002ZW,Lay's Spicy Crayfish Chips ,2025-06-15 16:53:59,1,$4.99,$2.49,$4.99,$2.50,Prepackaged Snacks,,,Misc. Accessories,$0.00,0.00%
Y2k vintage tie top gray loot on the low,$18.00,06-14-2025,15761,80.00%,$18.00,,$14.40,Tees,,,,,,,Sportswear,$324.23,1.16%,,0001VQ,Lays Chips Sweet & Spicy Fried Chicken ,2025-06-15 16:53:59,2,$9.98,$3.98,$9.98,$6.00,Prepackaged Snacks,,,Cardigans,$0.00,0.00%
vintage sparkle military juicy black <3 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,$62.00,06-14-2025,15761,80.00%,$62.00,,$49.60,Jackets,,,,,,,Button Ups,$320.00,1.14%,,0002ZV,Lays Roasted Lamb Skewer Chips ,2025-06-11 15:40:19,2,$9.98,$4.98,$9.98,$5.00,Prepackaged Snacks,,,Hats,$0.00,0.00%
juicy bow front ruffle back cutie <3 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,$62.00,06-14-2025,15762,80.00%,$62.00,,$49.60,Jackets,,,,,,,Belts,$309.00,1.10%,,,,,,,,,,,,,Keychains,$0.00,0.00%
Agus bendita floral cutie embroderied shortie demin,$48.00,06-14-2025,15762,80.00%,$48.00,,$38.40,Shorts/Jorts,,,,,,,Cardigans,$267.00,0.95%,,0001ZF,$10 steals ,,6,$60.00,$5.00,$50.00,$45.00,,,,Prints,$4.99,0.07%
mossimo khaki prep shortie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$35.00,06-14-2025,15764,80.00%,$35.00,,$28.00,Shorts/Jorts,,,,,,,Misc. Accessories,$214.88,0.77%,,0002IS,$14 steals ,2025-06-21 19:51:40,1,$14.00,$0.00,$14.00,$14.00,,,,Total,"$7,537.32",100.00%
VS iconic slip dress 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$35.00,06-14-2025,15770,80.00%,$35.00,,$28.00,Lingerie,,,,,,,Sweaters,$170.00,0.61%,,0000UN,$5 steals,,3,$15.00,$0.00,$15.00,$15.00,,,,,,
vintage american eagle shorties white ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$45.00,06-17-2025,15825,80.00%,$45.00,,$36.00,Shorts/Jorts,,,,,,,Candles,$170.00,0.61%,,0000LB,St. John Celebration Top 1985 ,2025-06-02 12:48:09,1,$10.00,$0.00,$10.00,$10.00,Tees,,,,,
2011 navy track jacket bling back 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,$58.00,06-17-2025,15832,80.00%,$58.00,,$46.40,Jackets,,,,,,,Crewnecks,$140.45,0.50%,,00027A,Vtg Sport Around Wool Sweater with Pink Stripes SS ,2025-06-03 13:55:27,1,$12.00,$0.00,$12.00,$12.00,Sweaters,,,,,
sale bb <3 $15 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$15.00,06-17-2025,15835,80.00%,$15.00,,$12.00,Tees,,,,,,,Ceramics,$125.00,0.45%,,0001TB,Carhartt Original Fit Navy Long Sleeve ,2025-06-03 15:54:47,1,$14.00,$0.00,$14.00,$14.00,Long Sleeves,,,$10 steals ,$211.98,
vintage ny&co pink lace detail ss button up <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$34.00,06-17-2025,15842,80.00%,$34.00,,$27.20,Button Ups,,,,,,,Stationery,$124.00,0.44%,,0000Q9,Dri-Fit Nike Shorts ,2025-06-03 15:54:47,1,$10.99,$0.00,$10.99,$10.99,Shorts/Jorts,,,$14 steals ,$168.00,
vintage american eagle shorties camo ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$50.00,06-18-2025,15869,80.00%,$50.00,,$40.00,Shorts/Jorts,,,,,,,Vests,$61.00,0.22%,,00018L,Vtg FBI Tee Made in USA ,2025-06-03 17:18:03,1,$10.00,$0.00,$10.00,$10.00,Tees,,,$12 steals ,$48.00,
vintage forever 21 pinstripe button bb <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$45.00,06-19-2025,15877,80.00%,$45.00,,$36.00,Jackets,,,,,,,Hair Accessories,$50.00,0.18%,,0000EZ,Vtg University of Colorado T Shirt ,2025-06-05 16:16:15,1,$10.00,$0.00,$10.00,$10.00,Tees,,,$5 steals ,$15.00,
Vintage Y2k denim mini cuti,$38.00,06-21-2025,15992,80.00%,$38.00,,$30.40,Shorts/Jorts,,,,,,,Hats,$18.00,0.06%,,0001QI,Vtg y2k Norm Thompson Long Sleeve ,2025-06-05 16:38:35,1,$10.00,$0.00,$10.00,$10.00,Long Sleeves,,,$1 steals ,$0.00,
vintage y2k capped sleeve sweater cutie 𝖈𝖔𝖗𝖕𝖔𝖗𝖆𝖙𝖊 𝖖𝖚𝖊𝖊𝖓,$32.00,06-21-2025,16004,80.00%,$32.00,,$25.60,Sweaters,,,,,,,Coats,$0.00,0.00%,,0001Y0,Fashion Bug Lilac Purple Jacket ,2025-06-06 15:34:24,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,$8.95,$8.95,
black and pink slip bb <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$22.00,06-21-2025,16006,80.00%,$22.00,,$17.60,Lingerie,,,,,,,Overalls,$0.00,0.00%,,00015J,Vtg Bebe Black Dress ,2025-06-07 16:16:09,1,$12.00,$0.00,$12.00,$12.00,Dresses,,,$15 steals,$15.00,
vintage american eagle shorties perfection bb ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$50.00,06-21-2025,16010,80.00%,$50.00,,$40.00,Shorts/Jorts,,,,,,,Athleticwear,$0.00,0.00%,,159,Ecko Unltd Gray Hoodie ,2025-06-07 18:18:56,1,$14.00,$0.00,$14.00,$14.00,Hoodies,,,Total,$466.93,
forever 21 denim mini cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$32.00,06-21-2025,16018,80.00%,$32.00,,$25.60,Shorts/Jorts,,,,,,,Total,"$28,016.20",100.00%,,0001IA,Vtg Ghost Black Tank Top ,2025-06-11 16:08:02,1,$10.00,$0.00,$10.00,$10.00,Tank tops ,,,,,
low rise american eagle preppy shortie cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$42.00,06-21-2025,16021,80.00%,$42.00,,$33.60,Shorts/Jorts,,,,,,,,,,,0000I9,Boyz N The Hood Graphic Tee ,2025-06-11 16:50:36,1,$8.95,$0.00,$8.95,$8.95,Tees,,,,,
sale bb <3 $15 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$15.00,06-22-2025,16064,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,,,,,0000EA,Dkny Jean Shorts ,2025-06-11 17:38:59,1,$10.00,$0.00,$10.00,$10.00,Shorts/Jorts,,,,,
vintage cutie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$20.00,06-23-2025,16113,80.00%,$20.00,,$16.00,Tees,,,,,,,,,,,171,Saint Mary's College Gray Full Zip Hoodie ,2025-06-11 17:41:25,1,$14.00,$0.00,$14.00,$14.00,Hoodies,,,,,
black vintage italian leather side zip slouchy bag w strap •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,$90.00,06-23-2025,16121,80.00%,$90.00,,$72.00,Bags,,,,,,,,,,,0001CT,Nike Team Blue Track Jacket ,2025-06-12 12:35:53,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,
vintage american eagle shorties black  <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$45.00,06-23-2025,16137,80.00%,$45.00,,$36.00,Shorts/Jorts,,,,,,,,,,,0000U4,Champion Logo Hoodie ,2025-06-14 12:26:21,1,$10.00,$0.00,$10.00,$10.00,Hoodies,,,,,
Vtg vs slip  i love me!,$35.00,06-24-2025,16142,80.00%,$35.00,,$28.00,Lingerie,,,,,,,,,,,0001PU,SPCQ’65 Polo Tee ,2025-06-14 15:24:57,1,$12.00,$0.00,$12.00,$12.00,Tees,,,,,
$20 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$20.00,06-24-2025,16158,80.00%,$20.00,,$16.00,Lingerie,,,,,,,,,,,1.00E+05,Velvet by Graham & Spencer Black Blouse ,2025-06-15 16:38:36,1,$10.00,$0.00,$10.00,$10.00,Blouses,,,,,
Faded glory striped ls hoodie perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡,$28.00,06-24-2025,16162,80.00%,$28.00,,$22.40,Hoodies,,,,,,,,,,,0000YB,Luke Combs World Tour 2023 Tee ,2025-06-18 15:09:58,1,$10.99,$0.00,$10.99,$10.99,Tees,,,,,
$20 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$20.00,06-25-2025,16166,80.00%,$20.00,,$16.00,Tees,,,,,,,,,,,244,Guitar Hero Tee ,2025-06-20 13:49:07,1,$10.00,$0.00,$10.00,$10.00,Tees,,,,,
vintage boom boom pants <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$50.00,06-26-2025,16214,80.00%,$50.00,,$40.00,Jeans ,,,,,,,,,,,00024S,Plant Manager Gray Tee ,2025-06-21 12:23:20,1,$12.00,$0.00,$12.00,$12.00,Tees,,,,,
hot kiss animal print low rise shortie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$28.00,06-27-2025,16233,80.00%,$28.00,,$22.40,Shorts/Jorts,,,,,,,,,,,0001TR,Vtg Pacific Trail Aqua Jacket ,2025-06-21 13:50:17,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,
$15  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$15.00,06-28-2025,16283,80.00%,$15.00,,$12.00,Tees,,,,,,,,,,,00015A,US Polo Assn Fleece Lined Full Zip Hoodie ,2025-06-21 13:50:17,1,$10.00,$0.00,$10.00,$10.00,Hoodies,,,,,
juicy couture black ruffle marching jacket perfection <3 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,$60.00,06-29-2025,16326,80.00%,$60.00,,$48.00,Jackets,,,,,,,,,,,0000S8,Babette San Francisco Blouse ,2025-06-22 13:39:10,1,$14.00,$0.00,$14.00,$14.00,Blouses,,,,,
vintage american eagle shorties khaki   <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$45.00,06-29-2025,16346,80.00%,$45.00,,$36.00,Shorts/Jorts,,,,,,,,,,,00020D,WAYF Black Blouse ,2025-06-22 15:49:36,1,$10.00,$0.00,$10.00,$10.00,Blouses,,,,,
low rise american eagle cargo shortie perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$45.00,06-29-2025,16347,80.00%,$45.00,,$36.00,Shorts/Jorts,,,,,,,,,,,0001YM,Hot Pink Ski Jacket ,2025-06-22 16:10:05,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,,,
Vintage cinema black slip dress 𝕚 𝕝𝕠𝕧𝕖 𝕞𝕖!,$20.00,06-29-2025,16353,80.00%,$20.00,,$16.00,Lingerie,,,,,,,,,,,0001LB,Vtg Adele Joyce Creme Sweater ,2025-06-27 18:25:58,1,$14.00,$0.00,$14.00,$14.00,Sweaters,,,,,
vintage y2k double breasted cutie quilt 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,$65.00,06-30-2025,16382,80.00%,$65.00,,$52.00,Jackets,,,,,,,,,,,1.00E+00,Santa Clara University Hoodie (Brand new with tags) ,2025-06-28 15:30:38,1,$14.00,$0.00,$14.00,$14.00,Hoodies,,,,,
,,,,"$1,976.00",54,$36.59,$905.80,,,,,,,,,,,,0001JK,Gap Military Green Button Up ,2025-06-28 15:30:38,1,$10.00,$0.00,$10.00,$10.00,Button Ups,,,,,
,,,,,,,,,,,,,,,,,,,0001L6,Goldman All New Wool Black Vest ,2025-06-28 18:06:41,1,$14.00,$0.00,$14.00,$14.00,Vests,,,,,
06-30-2025,Alexis Gomez - 03B,,Annie Zhou,Print List,$247.88,,,,,,,,,,,,,,0001CS,Lulus Sage Romper ,2025-06-29 18:04:31,1,$10.00,$0.00,$10.00,$10.00,Dresses,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,0001ZN,Ralph Lauren Black Pinstripe Pants ,2025-06-30 16:46:19,1,$15.00,$0.00,$15.00,$15.00,Jeans ,,,,,
Place top,$16.50,06-01-2025,15335,75.00%,$16.50,,$12.38,Blouses,,,,,,,,,,,,,,,$466.93,,,,,,,,,
Butterfly t-shirt,$15.50,06-04-2025,15410,75.00%,$15.50,,$11.63,Tees,,,,,,,,,,,0002CP,Augusta Sportswear Black Mesh Jersey S WN ,2025-06-01 14:27:09,1,$19.99,$7.00,$19.99,$12.99,Athleticwear,,,,,
Gap zip up yellow,$28.50,06-05-2025,15458,75.00%,$28.50,,$21.38,Jackets,,,,,,,,,,,0002XJ,Southpole Dark Wash Flare Bottoms sz 13 Sac ,2025-06-01 14:30:28,1,$32.99,$20.00,$32.99,$12.99,Jeans ,,,,,
Nike zip up,$40.00,06-07-2025,15492,75.00%,$40.00,,$30.00,Jackets,,,,,,,,,,,0002V9,Wrangler Pilsner Lite Denim Jacket L Sac Apr ,2025-06-01 15:33:46,1,$74.99,$19.49,$74.99,$55.50,Jackets,,,,,
Banana Republic Denium best,$30.00,06-14-2025,15766,75.00%,$30.00,,$22.50,Jackets,,,,,,,,,,,0002FI,Alfred Dunner Floral Pastel Button Up Tee M AF ,2025-06-01 16:09:40,1,$26.99,$15.00,$26.99,$11.99,Button Ups,,,,,
Ekouaer tank top,$20.50,06-18-2025,15874,75.00%,$20.50,Sale: 4.10,$12.30,Tank tops ,,,,,,,,,,,0002Y7,Badgley Mischka Brown and Blue Floral Dress sz 2 TO ,2025-06-01 16:49:52,1,$45.99,$9.00,$45.99,$36.99,Dresses,,,,,
Green hooded Carhart jacket,$170.00,06-20-2025,15920,75.00%,$170.00,Sale: 34.00,$102.00,Jackets,,,,,,,,,,,0002AT,y2k Top Heavy Skull and Dragon Blue Tee L SS ,2025-06-02 16:26:10,1,$24.99,$0.00,$24.99,$24.99,Tees,,,,,
Chaudry top,$24.50,06-21-2025,16004,75.00%,$24.50,Sale: 4.90,$14.70,Blouses,,,,,,,,,,,0002GL,Pink Rose Floral Tank AF ,2025-06-03 14:03:10,1,$25.99,$15.00,$25.99,$10.99,Tank tops ,,,,,
Sankiki dress,$27.50,06-21-2025,16007,75.00%,$27.50,Sale: 5.50,$16.50,Dresses,,,,,,,,,,,2.00E+01,1998 Ry Blue Velour Full Zip Jacket M TO ,2025-06-03 16:43:46,1,$26.99,$9.00,$26.99,$17.99,Jackets,,,,,
Georgiou button up,$24.50,06-21-2025,16012,75.00%,$24.50,Sale: 4.90,$14.70,Button Ups,,,,,,,,,,,0002WA,Giants Gray Hoodie XL ,2025-06-03 17:14:59,1,$34.99,$20.00,$34.99,$14.99,Sportswear,,,,,
Lucky Tees top,$24.50,06-21-2025,16019,75.00%,$24.50,Sale: 4.90,$14.70,Tees,,,,,,,,,,,0002S8,Giants Nike Black Tee L TO ,2025-06-04 14:32:09,1,$24.99,$9.00,$24.99,$15.99,Sportswear,,,,,
vintage NASCAR Edwards Vintage NASCAR Edwards AOP,$50.75,06-21-2025,16034,75.00%,$50.75,Sale: 10.15,$30.45,Jackets,,,,,,,,,,,285,Cheetah Print Velour Jacket SS ,2025-06-04 15:34:59,1,$28.99,$0.00,$28.99,$28.99,Jackets,,,,,
Vintage guess t-shirt,$20.50,06-22-2025,16090,75.00%,$20.50,Sale: 4.10,$12.30,Tees,,,,,,,,,,,0002TJ,Live a Little Brown Jacket M TO ,2025-06-04 15:34:59,1,$27.99,$9.00,$27.99,$18.99,Jackets,,,,,
Vintage Giants t-shirt,$35.75,06-24-2025,16142,75.00%,$35.75,,$26.81,Sportswear,,,,,,,,,,,00024D,Vtg Big Dogs Dog Wars Tee Made in USA ,2025-06-04 15:46:41,1,$28.99,$0.00,$28.99,$28.99,Tees,,,,,
New Look button up,$24.50,06-24-2025,16153,75.00%,$24.50,,$18.38,Button Ups,,,,,,,,,,,0002YW,Rock Revival Sukie Shorts Bedazzled sz 28 (NEW w/ tags) AF ,2025-06-04 16:08:55,1,$39.99,$15.00,$39.99,$24.99,Shorts/Jorts,,,,,
2002 Giants t-shirt,$24.50,06-26-2025,16194,75.00%,$24.50,,$18.38,Sportswear,,,,,,,,,,,0002OX,Brown and Teal Coach Bag Sac ,2025-06-05 14:28:52,1,$54.99,$15.00,$54.99,$39.99,Bags,,,,,
Ralph Lauren Quater zip thermal,$27.50,06-27-2025,16252,75.00%,$27.50,,$20.63,Crewnecks,,,,,,,,,,,0001TV,Giants Black Long Sleeve ,2025-06-05 16:51:10,1,$19.99,$0.00,$19.99,$19.99,Sportswear,,,,,
Samuel Dong top,$15.00,06-28-2025,16305,75.00%,$15.00,,$11.25,Blouses,,,,,,,,,,,0002B3,y2k Demon and Snake Gray Tee XL SS ,2025-06-05 18:04:26,1,$27.99,$13.00,$27.99,$14.99,Tees,,,,,
Liz Clayborne Chetta print top,$24.50,06-28-2025,16311,75.00%,$24.50,,$18.38,Blouses,,,,,,,,,,,0002NH,John Paul Richard Uniform Leather Brown Suede Leather Jacket sz 12 Sac ,2025-06-06 13:58:24,1,$49.99,$15.00,$49.99,$34.99,Jackets,,,,,
Leather jacket no brand,$75.50,06-29-2025,16339,75.00%,$75.50,,$56.63,Jackets,,,,,,,,,,,0002WJ,Oililiy Blue Floral Denim Jacket M Made in Italy AF ,2025-06-06 13:58:24,1,$49.99,$20.00,$49.99,$29.99,Jackets,,,,,
Vintage Mirage leather jacket,$82.50,06-29-2025,16361,75.00%,$82.50,,$61.88,Jackets,,,,,,,,,,,0002YS,Route 66 Relaxed Fit Denim Jorts sz 36 AF ,2025-06-06 14:21:08,1,$32.99,$15.00,$32.99,$17.99,Shorts/Jorts,,,,,
