Payout Date,Issued By,Consignor,Total Payout,,,,,,,,,,,,,Category,,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,Category,
shot glass,13849,$5.99,$5.99,04-13-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13849,$5.99,$5.99,04-13-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13860,$5.99,$5.99,04-13-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
Charm feb,13864,$9.99,$9.99,04-13-2025,,$7.49,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,,
Deluxe hand charm jan,13871,$16.99,$16.99,04-14-2025,,$12.74,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13885,$5.99,$5.99,04-14-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13885,$5.99,$5.99,04-14-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13918,$5.99,$5.99,04-16-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13918,$5.99,$5.99,04-16-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13943,$5.99,$5.99,04-18-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13965,$5.99,$5.99,04-18-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13980,$5.99,$5.99,04-19-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,13981,$5.99,$5.99,04-19-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
Deluxe keychain April,13986,$13.99,$13.99,04-19-2025,,$10.49,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Phone deluxe charm april,13986,$12.99,$12.99,04-19-2025,,$9.74,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,,
Hand deluxe charm April,14030,$16.99,$16.99,04-19-2025,,$12.74,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14043,$5.99,$5.99,04-19-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14054,$5.99,$5.99,04-20-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14070,$5.99,$5.99,04-20-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14070,$5.99,$5.99,04-20-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14070,$5.99,$5.99,04-20-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
Phone deluxe charm april,14090,$12.99,$12.99,04-20-2025,,$9.74,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,,
Phone deluxe charm april,14093,$12.99,$12.99,04-20-2025,,$9.74,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,,
Deluxe keychain April,14115,$13.99,$13.99,04-21-2025,,$10.49,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Hand deluxe charm April,14139,$16.99,$16.99,04-23-2025,,$12.74,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14147,$5.99,$5.99,04-23-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14221,$5.99,$5.99,04-26-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14221,$5.99,$5.99,04-26-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14221,$5.99,$5.99,04-26-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
Phone deluxe charm april,14246,$12.99,$12.99,04-27-2025,,$9.74,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14252,$5.99,$5.99,04-27-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14252,$5.99,$5.99,04-27-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14252,$5.99,$5.99,04-27-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14257,$5.99,$5.99,04-27-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14275,$5.99,$5.99,04-27-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14275,$5.99,$5.99,04-27-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14275,$5.99,$5.99,04-27-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14278,$5.99,$5.99,04-27-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14278,$5.99,$5.99,04-27-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
Deluxe keychain April,14309,$13.99,$13.99,04-28-2025,,$10.49,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Deluxe keychain April,14309,$13.99,$13.99,04-28-2025,,$10.49,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,14344,$5.99,$5.99,04-30-2025,,$4.49,Tumblers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$502.97,$8.38,60,$377.10,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Deigo Maurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage levis Jorts,#14205,$24.00,$24.00,04-26-2025,,$18.00,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,,
90s The Beatles shirt,#14200,$30.00,$30.00,04-26-2025,,$22.50,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage cable knit,#14106,$35.00,$35.00,04-21-2025,,$26.25,Sweaters,,,,,,,,,,,,,,,,,,,,,,,,,
80s joe Montana tee,#13785,$40.00,$40.00,04-11-2025,,$30.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K denim jacket,#13627,$28.00,$28.00,04-05-2025,,$21.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Distressed hobie tee,#13588,$18.00,$18.00,04-03-2025,,$13.50,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$175.00,$29.17,6,$131.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Eisenberg Samuel - 02O,$557.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt double knees Ed  8,13645,$114.99,$114.99,04-05-2025,,$91.99,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt double knees Ed  8,13654,$114.99,$114.99,04-05-2025,,$91.99,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
Miss me totes Ed,13745,$44.99,$44.99,04-09-2025,,$35.99,Bags,,,,,,,,,,,,,,,,,,,,,,,,,
Y2k Pants 70 Ed 5,13802,$69.99,$69.99,04-12-2025,,$55.99,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt bags ed,13811,$44.99,$44.99,04-12-2025,,$35.99,Bags,,,,,,,,,,,,,,,,,,,,,,,,,
Quality care nascar Ed,14003,$129.99,$129.99,04-19-2025,,$103.99,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt double knees Ed  8,14061,$114.99,$114.99,04-20-2025,,$91.99,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt jackets Ed 22,14135,$169.99,$169.99,04-23-2025,,$135.99,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt Patched DK ED 15,14276,$149.99,$149.99,04-27-2025,,$119.99,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
Work pants Ed 7,14318,$69.99,$69.99,04-28-2025,,$55.99,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
Vtg carhartt Double Knee Ed,14353,$109.99,$109.99,05-01-2025,,$87.99,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"$1,134.89",$103.17,11,$907.89,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Elaine Jing Candle - 03K,$120.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
2 for $40 pandan and almond,13525,$40.00,$40.00,04-01-2025,,$30.00,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
2 for $40 lavendar & lychee,13553,$40.00,$40.00,04-02-2025,,$30.00,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Tea - 8oz,13558,$25.00,$25.00,04-02-2025,,$18.75,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Pandan - 8oz,13595,$25.00,$25.00,04-04-2025,,$18.75,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
2 for $40 (x2) matcha,13752,$40.00,$40.00,04-09-2025,,$30.00,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
Osmanthus - 8oz,13821,$25.00,$25.00,04-12-2025,,$18.75,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
Yuzu Hinoki - 8oz,13821,$25.00,$25.00,04-12-2025,,$18.75,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
Osmanthus - 8oz,13822,$25.00,$25.00,04-12-2025,Sale: 5.00,$15.00,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
Yuzu Hinoki - 8oz,13822,$25.00,$25.00,04-12-2025,Sale: 5.00,$15.00,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
Yuzu Hinoki - 8oz,14063,$25.00,$25.00,04-20-2025,,$18.75,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender Vetiver - 8oz,14302,$25.00,$25.00,04-27-2025,,$18.75,Candles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$320.00,$29.09,14,$232.50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Elaine Li - 03L,$32.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Bead Wristlet,13545,$8.00,$8.00,04-02-2025,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,,
Crybabies,13547,$3.00,$3.00,04-02-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Boba Cinnamoroll,13566,$3.00,$3.00,04-03-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Boba Kuromi,13566,$3.00,$3.00,04-03-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Cinnamoroll Keychain,13610,$12.00,$12.00,04-05-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Yuki,13623,$3.00,$3.00,04-05-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Cowboy,13632,$3.00,$3.00,04-05-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Ramen,13659,$3.00,$3.00,04-05-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco,13689,$3.00,$3.00,04-06-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Zelda,13740,$3.00,$3.00,04-08-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty,13750,$3.00,$3.00,04-09-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Flower,13776,$3.00,$3.00,04-11-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Zelda,13784,$3.00,$3.00,04-11-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,13784,$3.00,$3.00,04-11-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,13834,$3.00,$3.00,04-13-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Yuki,13874,$3.00,$3.00,04-14-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hangyodon,13875,$3.00,$3.00,04-14-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Plant,13875,$3.00,$3.00,04-14-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Boba Cats,13899,$3.00,$3.00,04-15-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Shiki,13973,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Yuki,14009,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Shiki,14013,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Plant,14025,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Dessert,14070,$3.00,$3.00,04-20-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Cinnamoroll,14083,$3.00,$3.00,04-20-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pompom,14181,$3.00,$3.00,04-25-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Plant,14224,$3.00,$3.00,04-26-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Boba,14224,$3.00,$3.00,04-26-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Boba,14232,$3.00,$3.00,04-26-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hangyodon,14232,$3.00,$3.00,04-26-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Plant,14353,$3.00,$3.00,05-01-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Ramen,14354,$3.00,$3.00,05-01-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$110.00,$3.44,32,$82.50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Eliza Andrada - 03E,$518.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO Brown Coat,13542,$60.00,$60.00,04-02-2025,,$48.00,Coats,,,,,,,,,,,,,,,,,,,,,,,,,
Mudd Grey jacket,13564,$35.00,$35.00,04-03-2025,,$28.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Baccini Jean Coat,13592,$30.00,$30.00,04-04-2025,,$24.00,Coats,,,,,,,,,,,,,,,,,,,,,,,,,
Vocal Y2K alt top,13613,$45.00,$45.00,04-05-2025,,$36.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Star Tank top,13615,$15.00,$15.00,04-05-2025,,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,,
White Fur Vest,13620,$35.00,$35.00,04-05-2025,,$28.00,Vests,,,,,,,,,,,,,,,,,,,,,,,,,
Cream long sleeveless cardigan,13641,$20.00,$20.00,04-05-2025,,$16.00,Cardigans,,,,,,,,,,,,,,,,,,,,,,,,,
Star Button Up Blouse,13751,$28.00,$28.00,04-09-2025,,$22.40,Blouses,,,,,,,,,,,,,,,,,,,,,,,,,
Mossimo Brown Cotton Coat,13762,$27.00,$27.00,04-10-2025,,$21.60,Coats,,,,,,,,,,,,,,,,,,,,,,,,,
Dress Barn Jean Jacket,13765,$55.00,$55.00,04-10-2025,,$44.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Green One world Quarter Sleeve Top,13791,$15.00,$15.00,04-12-2025,,$12.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,,
Green VTG rampage cargos,13847,$75.00,$75.00,04-13-2025,,$60.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Paris Top,13850,$20.00,$20.00,04-13-2025,,$16.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,,
Black Lingerie Top,13867,$35.00,$35.00,04-13-2025,,$28.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,,
white dress,13906,$25.00,$25.00,04-15-2025,,$20.00,Dresses,,,,,,,,,,,,,,,,,,,,,,,,,
Black button up blouse,13907,$20.00,$20.00,04-15-2025,,$16.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,,
Southpole zipup,13975,$45.00,$45.00,04-19-2025,,$36.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Plaid pink tank,13985,$28.00,$28.00,04-19-2025,,$22.40,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,,
Purple lingerie top,14072,$32.00,$32.00,04-20-2025,,$25.60,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,,
Cream Lingerie bodysuit,14081,$50.00,$50.00,04-20-2025,,$40.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,,
VTG lily of france lace top,14105,$45.00,$45.00,04-21-2025,,$36.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,,
Black blouse,14140,$23.00,$23.00,04-23-2025,,$18.40,Blouses,,,,,,,,,,,,,,,,,,,,,,,,,
Pink and Black  lacey lingerie,14141,$35.00,$35.00,04-23-2025,,$28.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Lingerie top,14183,$32.00,$32.00,04-25-2025,,$25.60,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Me Jeans,14220,$70.00,$70.00,04-26-2025,,$56.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
Black and White Floral Dress,14225,$20.00,$20.00,04-26-2025,,$16.00,Dresses,,,,,,,,,,,,,,,,,,,,,,,,,
Flared  blue and cream flared blouse,14258,$45.00,$45.00,04-27-2025,,$36.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,,
White skirt,14282,$25.00,$25.00,04-27-2025,,$20.00,Skirts,,,,,,,,,,,,,,,,,,,,,,,,,
White Tank,14289,$20.00,$20.00,04-27-2025,,$16.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Blues Cropped Jean jacket,14291,$60.00,$60.00,04-27-2025,,$48.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Crown shirt,14293,$15.00,$15.00,04-27-2025,,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"$1,085.00",$35.00,31,$868.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Eric Rodriguez - 020,$548.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
La Loop L/s,13535,$45.00,$45.00,04-02-2025,,$33.75,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,,
Bungle boy,13693,$40.00,$40.00,04-06-2025,Sale: 12.00,$21.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,,
Giants 08 Young Tee,13720,$65.00,$65.00,04-07-2025,,$48.75,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
adventure bound jacket,13790,$140.00,$140.00,04-12-2025,,$105.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Aohnai Tee,13803,$30.00,$30.00,04-12-2025,,$22.50,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
structure,13819,$100.00,$100.00,04-12-2025,,$75.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
pepe jeans jacket,13869,$80.00,$80.00,04-13-2025,,$60.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Jess and Jane LS,13882,$45.00,$45.00,04-14-2025,,$33.75,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,,
High Sierra L/S,13882,$35.00,$35.00,04-14-2025,,$26.25,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,,
carhartt black jacket,13917,$125.00,$125.00,04-16-2025,,$93.75,Jackets,,,,,,,,,,,,,,,,,,,,,,,,,
Giants y2k 2008 fem T,13938,$35.00,$35.00,04-17-2025,,$26.25,Sportswear,,,,,,,,,,,,,,,,,,,,,,,,,
Metrowear Skirt,14091,$40.00,$40.00,04-20-2025,,$30.00,Skirts,,,,,,,,,,,,,,,,,,,,,,,,,
Alc top,14091,$40.00,$40.00,04-20-2025,,$30.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Presaman Top,14312,$40.00,$40.00,04-28-2025,,$30.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$860.00,$61.43,14,$636.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Gaby Sandoval - 03W,$138.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,13529,$6.00,$6.00,04-01-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,13533,$4.00,$4.00,04-01-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,13534,$4.00,$4.00,04-01-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Marcy and PB bunny shirt Sticker,13534,$4.00,$4.00,04-01-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,13546,$6.00,$6.00,04-02-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,13547,$6.00,$6.00,04-02-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Delight Card,13597,$6.00,$6.00,04-04-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Delight Card,13597,$6.00,$6.00,04-04-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Delight Card,13610,$6.00,$6.00,04-05-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Smiski Ur Cool Card,13610,$6.00,$6.00,04-05-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,13611,$4.00,$4.00,04-05-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Much Card,13656,$6.00,$6.00,04-05-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Smiski Ur Cool Card,13672,$6.00,$6.00,04-06-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Marcy and PB bunny shirt Sticker,13680,$4.00,$4.00,04-06-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Marcy and PB bunny shirt Sticker,13680,$4.00,$4.00,04-06-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,13685,$4.00,$4.00,04-06-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Me when You're not with me Card,13706,$6.00,$6.00,04-06-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,13718,$4.00,$4.00,04-07-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,13744,$4.00,$4.00,04-09-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Stomp on 'em sticker,13776,$4.00,$4.00,04-11-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Angel Sticker,13819,$4.00,$4.00,04-12-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,13819,$4.00,$4.00,04-12-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry kuma sticker,13830,$4.00,$4.00,04-12-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Keroppi Sticker,13834,$4.00,$4.00,04-13-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Star Bubble Sticker,13834,$4.00,$4.00,04-13-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Bubble Sticker,13834,$4.00,$4.00,04-13-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,13835,$4.00,$4.00,04-13-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Marcy and PB bunny shirt Sticker,13835,$4.00,$4.00,04-13-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Me when You're not with me Card,13910,$6.00,$6.00,04-16-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,13914,$4.00,$4.00,04-16-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,13921,$4.00,$4.00,04-17-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,13946,$4.00,$4.00,04-18-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Marcy and PB bunny shirt Sticker,13957,$4.00,$4.00,04-18-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Delight Card,13960,$6.00,$6.00,04-18-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Kuma Keychain,13968,$12.00,$12.00,04-18-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Marcy and PB bunny shirt Sticker,13988,$4.00,$4.00,04-19-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Kuma Keychain,13999,$12.00,$12.00,04-19-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,14024,$4.00,$4.00,04-19-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,14060,$4.00,$4.00,04-20-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,14069,$4.00,$4.00,04-20-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
HK Angel Sticker,14083,$4.00,$4.00,04-20-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,14109,$4.00,$4.00,04-21-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Keychain,14109,$12.00,$12.00,04-21-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
