Payout Date,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,Category,,Categories,
08-31-2025,Annie Zhou,Alexis Ellis - 02T,Print List,"$1,907.40",,,,,,,,,,,,Tees,"$5,272.97",,,1,Brown Paper Bag ,,363,$90.70,$0.00,$90.70,$90.70,,,Tees,"$1,965.39"
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,Jackets,"$3,168.69",,,,,,,,,,,,,Jackets,"$1,404.78"
Vintage jessica simpson tassel good  •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,17783,$25.00,80.00%,$25.00,,08-01-2025,$20.00,Bags,,,,,,,,Tank tops ,"$2,424.00",,,0001VQ,Lays Chips Sweet & Spicy Fried Chicken ,,3,$14.97,$5.97,$14.97,$9.00,Prepackaged Snacks,,Hoodies,$862.79
sale bb <3 $15 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17790,$15.00,80.00%,$15.00,,08-01-2025,$12.00,Tees,,,,,,,,Shorts/Jorts,"$2,338.90",,,0002ZX,Lay's Fried Crab Chips ,,3,$14.97,$7.47,$14.97,$7.50,Prepackaged Snacks,,Tank tops ,$672.76
express pinstriped pants 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,17792,$38.00,80.00%,$38.00,,08-01-2025,$30.40,Jeans ,,,,,,,,Jeans ,"$2,312.61",,,0002ZV,Lays Roasted Lamb Skewer Chips ,,2,$9.98,$4.98,$9.98,$5.00,Prepackaged Snacks,,Jeans ,$639.88
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17810,$20.00,80.00%,$20.00,,08-01-2025,$16.00,Skirts,,,,,,,,Necklaces,"$2,133.00",,,0002UD,Cheetos Japanese Steak Flavor ,2025-08-02 16:44:06,1,$3.99,$1.99,$3.99,$2.00,Prepackaged Snacks,,Long Sleeves,$635.85
button up bb  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17830,$20.00,80.00%,$20.00,,08-02-2025,$16.00,Button Ups,,,,,,,,Skirts,"$2,109.94",,,0002UC,Oreo Strawberry Cream Flavor ,,5,$27.50,$16.66,$27.50,$10.84,Prepackaged Snacks,,Blouses,$358.89
Black skirt flouncy 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17834,$25.00,80.00%,$25.00,,08-02-2025,$20.00,Skirts,,,,,,,,Stickers,"$1,828.01",,,0002K4,Oreo Ultra Thin Biscuit Rose 0 Sugar ,,2,$11.00,$5.40,$11.00,$5.60,Prepackaged Snacks,,Prepackaged Snacks,$348.06
vintage y2k refuge heel platforms worn 𝓼𝓱𝓸𝓮 𝓭𝓻𝓸𝓹!,17859,$18.00,80.00%,$18.00,,08-02-2025,$14.40,Misc. Accessories,,,,,,,,Earrings,"$1,777.00",,,0003C8,Freeze dried gummy worms ,,11,$76.89,$0.00,$76.89,$76.89,Prepackaged Snacks,,Shorts/Jorts,$295.91
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17879,$10.00,80.00%,$10.00,,08-02-2025,$8.00,Skirts,,,,,,,,Lingerie,"$1,679.95",,,0001K5,Mango Gummy 8D Peelable Candy Containing Concentrate Gummy ,,4,$19.96,$7.96,$19.96,$12.00,Prepackaged Snacks,,Lingerie,$235.93
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17880,$10.00,80.00%,$10.00,,08-02-2025,$8.00,Skirts,,,,,,,,Nails,"$1,534.83",,,0002LI,Oasis Treasure Dubai Chocolate Pistachio ,2025-08-05 14:48:13,3,$32.97,$32.97,$32.97,$0.00,Prepackaged Snacks,,Sweaters,$226.94
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17880,$15.00,80.00%,$15.00,,08-02-2025,$12.00,Skirts,,,,,,,,Keychains,"$1,344.44",,,0003EI,Hi-Chew Superfruit Mix ,2025-08-06 17:04:30,3,$17.97,$0.00,$17.97,$17.97,Prepackaged Snacks,,Coats,$179.98
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17887,$25.00,80.00%,$25.00,,08-02-2025,$20.00,Skirts,,,,,,,,Prints,"$1,192.73",,,0002ZW,Lay's Spicy Crayfish Chips ,2025-08-06 17:29:30,1,$4.99,$2.49,$4.99,$2.50,Prepackaged Snacks,,Button Ups,$162.96
Vintage messenger cutie worn •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,17921,$20.00,80.00%,$20.00,,08-03-2025,$16.00,Bags,,,,,,,,Sportswear,"$1,179.95",,,365,Lays Garlic Oyster Chips ,2025-08-09 13:59:35,2,$9.98,$5.98,$9.98,$4.00,Prepackaged Snacks,,Dresses,$149.95
beige buckle bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,17924,$18.00,80.00%,$18.00,,08-03-2025,$14.40,Bags,,,,,,,,Long Sleeves,"$1,028.98",,,0002QK,Lays Texas Grilled BBQ Chips ,2025-08-06 17:30:11,1,$4.99,$4.99,$4.99,$0.00,Prepackaged Snacks,,Sportswear,$139.96
"navy thermal bb 𝖇𝖆𝖇𝖞, 𝖎𝖙’𝖘 𝖈𝖚𝖙𝖊",17958,$18.00,80.00%,$18.00,,08-04-2025,$14.40,Long Sleeves,,,,,,,,Bags,"$1,003.97",,,0003EH,Lay's Potato Chips Turkey Noodles Flavor ,2025-08-06 17:30:57,3,$14.97,$0.00,$14.97,$14.97,Prepackaged Snacks,,Crewnecks,$130.98
$20 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17972,$20.00,80.00%,$20.00,,08-04-2025,$16.00,Skirts,,,,,,,,Blouses,$983.50,,,0002UB,"Lay's Wave Chips, Grilled Squid Flavor ",2025-08-08 15:18:03,1,$4.99,$1.99,$4.99,$3.00,Prepackaged Snacks,,Bags,$129.97
sale bb <3 $15 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17982,$15.00,80.00%,$15.00,,08-05-2025,$12.00,Tees,,,,,,,,Dresses,$782.00,,,0002QP,Hi-Chew Fantasy Mix Candy ,2025-08-23 17:12:12,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,Vests,$97.98
southpole white capri cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18001,$40.00,80.00%,$40.00,,08-05-2025,$32.00,Shorts/Jorts,,,,,,,,Hoodies,$674.96,,,0002QL,Lays Grilled Pork Chips ,2025-08-15 17:35:50,2,$9.98,$9.98,$9.98,$0.00,Prepackaged Snacks,,Keychains,$67.00
vintage leather black buckle Hobo the original bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,18039,$45.00,80.00%,$45.00,,08-06-2025,$36.00,Bags,,,,,,,,Misc. Accessories,$622.87,,,0002K3,Oreo Biscuit Peach Oolong ,,5,$27.50,$18.35,$27.50,$9.15,Prepackaged Snacks,,Skirts,$56.98
purple silver charm cutie bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,18039,$30.00,80.00%,$30.00,,08-06-2025,$24.00,Bags,,,,,,,,Sweaters,$607.70,,,0002QN,Hi-Chew Berry Mix Candy ,2025-08-09 16:52:24,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,Cardigans,$43.99
denim mini cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18044,$40.00,80.00%,$40.00,,08-06-2025,$32.00,Shorts/Jorts,,,,,,,,Tumblers,$503.19,,,00039W,Hi-Chew Plus Fruit Mix Candy ,2025-08-22 17:29:07,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,Overalls,$32.99
vintage derek heart sweater gray SO CUTE <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18073,$38.00,80.00%,$38.00,,08-07-2025,$30.40,Sweaters,,,,,,,,Button Ups,$416.99,,,0002VQ,Oreo Grape and Peach ,2025-08-28 14:50:27,2,$11.00,$3.98,$11.00,$7.02,Prepackaged Snacks,,Athleticwear,$21.99
$15  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18074,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Skirts,,,,,,,,Bracelets,$413.00,,,328,Oreo Blueberry and Raspberry ,2025-08-29 16:30:53,1,$5.50,$2.99,$5.50,$2.51,Prepackaged Snacks,,,"$8,861.91"
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18108,$20.00,80.00%,$20.00,,08-07-2025,$16.00,Skirts,,,,,,,,Cardigans,$356.00,,,0002QQ,Hi-Chew Tropical Mix Candy ,2025-08-31 15:38:42,1,$5.99,$5.99,$5.99,$0.00,Prepackaged Snacks,,,
low rise american eagle striped shortie perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18170,$45.00,80.00%,$45.00,,08-08-2025,$36.00,Shorts/Jorts,,,,,,,,Belts,$343.99,,,,,,,,,,,,,Sale items ,
Vintage american eagle shortie white 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18184,$45.00,80.00%,$45.00,,08-09-2025,$36.00,Shorts/Jorts,,,,,,,,Crochet Accessories,$310.00,,,0000AY,Resin floral keychain ,,6,$60.00,$15.00,$50.00,$35.00,Keychains,,$14.99,$14.99
white belted shortie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18186,$30.00,80.00%,$30.00,,08-09-2025,$24.00,Shorts/Jorts,,,,,,,,Ceramics,$300.00,,,0000AW,Resin floral tag ,2025-08-07 16:42:32,1,$7.00,$2.00,$7.00,$5.00,Keychains,,$14,$392.00
shorts  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18187,$20.00,80.00%,$20.00,,08-09-2025,$16.00,Shorts/Jorts,,,,,,,,Coats,$264.98,,,,,,,,,,,,,$12,$108.00
metallic rosette •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,18193,$35.00,80.00%,$35.00,,08-09-2025,$28.00,Bags,,,,,,,,Athleticwear,$223.00,,,0001YD,Naked & Famous Blue Button Up Long Sleeve ,2025-08-01 17:23:35,1,$14.00,$0.00,$14.00,$14.00,Long Sleeves,,$10,$100.00
bklyn jort cutie ,18213,$30.00,80.00%,$30.00,,08-09-2025,$24.00,Shorts/Jorts,,,,,,,,Candles,$210.00,,,0000NX,ACDC Graphic Tee ,2025-08-01 18:02:53,1,$14.99,$0.00,$14.99,$14.99,Tees,,,$614.99
low rise american eagle denim shortie perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18225,$45.00,80.00%,$45.00,,08-09-2025,$36.00,Shorts/Jorts,,,,,,,,Phone Charms,$207.99,,,259,Splash Sport Route 66 Blue Crewneck ,2025-08-02 14:48:50,1,$14.00,$0.00,$14.00,$14.00,Crewnecks,,,
vintage byline byer california button up ss blazer <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18242,$34.00,80.00%,$34.00,,08-10-2025,$27.20,Jackets,,,,,,,,Vests,$190.00,,,0001Z5,Carhartt Loose Fit Green Hoodie ,2025-08-02 18:46:40,1,$14.00,$0.00,$14.00,$14.00,Hoodies,,,
abercrombie camo cargo 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18252,$30.00,80.00%,$30.00,,08-10-2025,$24.00,Shorts/Jorts,,,,,,,,Hair Accessories,$129.00,,,0002QB,University of Florida Orange Gators Graphic Tee XL WN ,2025-08-02 18:46:40,1,$12.00,$4.00,$12.00,$8.00,Tees,,,
Sale button up worn  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18255,$15.00,80.00%,$15.00,,08-10-2025,$12.00,Button Ups,,,,,,,,Crewnecks,$102.98,,,0001LY,Walt Disneyworld Windbreaker ,2025-08-02 18:46:40,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,
Skirt 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18270,$20.00,80.00%,$20.00,,08-10-2025,$16.00,Skirts,,,,,,,,Stationery,$42.00,,,0001O4,Y2k Sharagano Pretty Long Sleeve ,2025-08-02 18:46:40,1,$14.00,$0.00,$14.00,$14.00,Long Sleeves,,,
vintage merona trenchcoat jacket <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18278,$38.00,80.00%,$38.00,,08-10-2025,$30.40,Jackets,,,,,,,,Hats,$37.00,,,0001UW,Vtg anchor bay sweater ,2025-08-03 13:38:13,1,$14.00,$0.00,$14.00,$14.00,Sweaters,,,
Dottie top brown <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18279,$25.00,80.00%,$25.00,,08-10-2025,$20.00,Blouses,,,,,,,,Overalls,$36.00,,,0001WN,The Woolrich Woman Plaid Button Up ,2025-08-04 13:28:20,1,$14.00,$0.00,$14.00,$14.00,Button Ups,,,
heart soul shortie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18288,$30.00,80.00%,$30.00,,08-11-2025,$24.00,Shorts/Jorts,,,,,,,,Total,"$40,087.12",,,0001WK,Abercrombie & Fitch Green Jacket ,2025-08-04 14:19:53,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,
mk leather bag worn •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,18326,$55.00,80.00%,$55.00,,08-11-2025,$44.00,Bags,,,,,,,,,,,,0002BQ,Quiksilver Blue and White Striped Polo Tee L WN ,2025-08-04 15:34:06,1,$10.00,$0.00,$10.00,$10.00,Tees,,,
vest cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18330,$22.00,80.00%,$22.00,,08-12-2025,$17.60,Vests,,,,,,,,,,,,00026V,San Francisco 49ers Helmet Gray Tee SS ,2025-08-04 16:10:08,1,$12.00,$0.00,$12.00,$12.00,Tees,,,
Vintage pink tee loot on the los,18342,$18.00,80.00%,$18.00,,08-12-2025,$14.40,Tees,,,,,,,,,,,,0001VA,Big Dogs Fur Lined Vest ,2025-08-05 15:45:54,1,$14.00,$0.00,$14.00,$14.00,Vests,,,
gap brown adorable jacket bb 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18347,$42.00,80.00%,$42.00,,08-12-2025,$33.60,Jackets,,,,,,,,,,,,00025B,Disney Belle Tee ,2025-08-05 16:40:30,1,$10.00,$0.00,$10.00,$10.00,Tees,,,
vintage f21 denim paisley shortie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18373,$15.00,80.00%,$15.00,,08-13-2025,$12.00,Shorts/Jorts,,,,,,,,,,,,0002A6,The Incredibles Disney Blue Long Sleeve XL WN ,2025-08-05 16:41:09,1,$14.00,$5.00,$14.00,$9.00,Long Sleeves,,,
black friday $10 deal 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18403,$10.00,80.00%,$10.00,,08-14-2025,$8.00,Tees,,,,,,,,,,,,0001Z8,Sheer Black Top ,2025-08-05 17:28:29,1,$10.00,$0.00,$10.00,$10.00,Blouses,,,
vintage banana cargo green 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18424,$30.00,80.00%,$30.00,,08-14-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,0001MW,Yellow Military Camo Pants ,2025-08-05 17:38:39,1,$14.00,$0.00,$14.00,$14.00,Jeans ,,,
plaid xhiliration bb 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18451,$30.00,80.00%,$30.00,,08-15-2025,$24.00,Tees,,,,,,,,,,,,0002A5,Vtg George Strait Brown Long Sleeve XL WN ,2025-08-06 12:41:07,1,$10.00,$5.00,$10.00,$5.00,Long Sleeves,,,
$15  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18462,$15.00,80.00%,$15.00,,08-15-2025,$12.00,Skirts,,,,,,,,,,,,00029X,Billabong Olive Military Style Jacket ,2025-08-07 12:05:57,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,
vintage forever 21 shortie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18469,$15.00,80.00%,$15.00,,08-15-2025,$12.00,Shorts/Jorts,,,,,,,,,,,,0001Q9,Karen Kane Lifestyle Brown Cardigan ,2025-08-07 13:57:31,1,$14.00,$0.00,$14.00,$14.00,Cardigans,,,
cute but worn bag </3 •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,18477,$15.00,80.00%,$15.00,,08-15-2025,$12.00,Bags,,,,,,,,,,,,0001Z2,BDG Urban Outfitters Pink Corduroy Pants ,2025-08-07 15:03:34,1,$14.00,$0.00,$14.00,$14.00,Jeans ,,,
Blue shortie bb 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18482,$25.00,80.00%,$25.00,,08-15-2025,$20.00,Shorts/Jorts,,,,,,,,,,,,0001Q6,Y2k Skeleton Long Sleeve ,2025-08-07 16:14:04,1,$12.00,$0.00,$12.00,$12.00,Long Sleeves,,,
black cutie bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,18534,$25.00,80.00%,$25.00,,08-16-2025,$20.00,Bags,,,,,,,,,,,,0001PS,Basic Editions Lavender Floral Crew ,2025-08-08 14:21:26,1,$14.00,$0.00,$14.00,$14.00,Crewnecks,,,
Denim skirt loot on the low,18552,$30.00,80.00%,$30.00,,08-16-2025,$24.00,Skirts,,,,,,,,,,,,00024U,Jones New York Signature Green Jacket ,2025-08-09 14:48:57,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,
no boundaries white shorites ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18620,$35.00,80.00%,$35.00,,08-17-2025,$28.00,Shorts/Jorts,,,,,,,,,,,,0002IS,$14 steals ,2025-08-24 15:15:15,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,
ribbon fade to juicy sequin zip hoodie 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,18620,$58.00,80.00%,$58.00,,08-17-2025,$46.40,Jackets,,,,,,,,,,,,00014O,American Eagle Cropped Flannel ,2025-08-09 17:26:34,1,$10.00,$0.00,$10.00,$10.00,Button Ups,,,
shortie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18645,$30.00,80.00%,$30.00,,08-19-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,00014B,Vtg Guess Jeans Sleeveless Button Up Made in USA ,2025-08-10 17:28:49,1,$14.00,$0.00,$14.00,$14.00,Button Ups,,,
american eagle mini shorties cargo cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18648,$38.00,80.00%,$38.00,,08-19-2025,$30.40,Shorts/Jorts,,,,,,,,,,,,0001WI,Lauren Ralph Lauren Striped Long Sleeve ,2025-08-11 12:46:02,1,$10.00,$0.00,$10.00,$10.00,Long Sleeves,,,
vintage gap denim 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18651,$30.00,80.00%,$30.00,,08-19-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,00025G,The Little Mermaid Crewneck ,2025-08-14 12:21:43,1,$12.00,$0.00,$12.00,$12.00,Crewnecks,,,
American eagle mini shorties denim fancy 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18664,$45.00,80.00%,$45.00,,08-19-2025,$36.00,Shorts/Jorts,,,,,,,,,,,,00012O,Disney Parks Mickey Crew ,2025-08-15 16:05:49,1,$10.00,$0.00,$10.00,$10.00,Crewnecks,,,
vintage ymi denim 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18672,$30.00,80.00%,$30.00,,08-20-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,0002C6,Warning You Are Looking At A High Performing Woman Tee XL WN ,2025-08-16 13:08:48,1,$12.00,$5.00,$12.00,$7.00,Tees,,,
$15  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18674,$15.00,80.00%,$15.00,,08-20-2025,$12.00,Shorts/Jorts,,,,,,,,,,,,0001G4,Pacific Trail Blue Windbreaker ,2025-08-16 14:58:12,1,$14.00,$0.00,$14.00,$14.00,Jackets,,,
shortie  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18685,$25.00,80.00%,$25.00,,08-20-2025,$20.00,Shorts/Jorts,,,,,,,,,,,,231,Vtg Mt Rushmore Tee Made in USA ,2025-08-16 15:02:22,1,$10.00,$0.00,$10.00,$10.00,Tees,,,
no boundaries blue shortie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18685,$30.00,80.00%,$30.00,,08-20-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,0002EE,90s/00s Clemson University Purple Crewneck L WN ,2025-08-19 13:18:09,1,$14.00,$5.48,$14.00,$8.52,Crewnecks,,,
low rise american eagle striped shortie perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18685,$45.00,80.00%,$45.00,,08-20-2025,$36.00,Shorts/Jorts,,,,,,,,,,,,0001B3,SourceForge.net Gray Tee ,2025-08-19 13:18:10,1,$12.00,$0.00,$12.00,$12.00,Tees,,,
Inc concepts military marching jacket gray L ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18697,$38.00,80.00%,$38.00,,08-20-2025,$30.40,Jackets,,,,,,,,,,,,00023K,Say What? black faux fur vest ,2025-08-19 14:34:29,1,$14.00,$0.00,$14.00,$14.00,Vests,,,
20011 juicy navy blue ruffle blazer bb 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,18701,$58.00,80.00%,$58.00,,08-21-2025,$46.40,Jackets,,,,,,,,,,,,0001U1,FUSAI Cargo Pants ,2025-08-21 14:41:46,1,$14.00,$0.00,$14.00,$14.00,Jeans ,,,
vintage blue spicr denim 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18704,$30.00,80.00%,$30.00,,08-21-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,00025T,Rafaella Black Sweater WN ,2025-08-21 15:19:54,1,$14.00,$0.00,$14.00,$14.00,Sweaters,,,
vintage glo denim 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18709,$30.00,80.00%,$30.00,,08-21-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,,UEG White Manifesto Windbreaker S WN ,2025-08-23 19:02:30,1,$14.00,$7.00,$14.00,$7.00,Jackets,,,
Long sleeve loot by lexi,18732,$20.00,80.00%,$20.00,,08-21-2025,$16.00,Long Sleeves,,,,,,,,,,,,0001IQ,Levi’s Sta-Prest Trousers ,2025-08-24 14:01:03,1,$12.00,$0.00,$12.00,$12.00,Jeans ,,,
juicy couture terry allover black zip cutie <3 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,18733,$62.00,80.00%,$62.00,,08-21-2025,$49.60,Jackets,,,,,,,,,,,,157,Prana Charcoal Sweater ,2025-08-24 17:34:27,1,$14.00,$0.00,$14.00,$14.00,Sweaters,,,
bebe button up 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18755,$24.00,80.00%,$24.00,,08-22-2025,$19.20,Button Ups,,,,,,,,,,,,0002B0,y2k Lighting Black Tee SS ,2025-08-24 18:18:26,1,$10.00,$8.00,$10.00,$2.00,Tees,,,
blue true religion cargo  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18778,$30.00,80.00%,$30.00,,08-22-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,0002CC,Broshous Black Racing Tee XL WN ,2025-08-27 14:38:02,1,$12.00,$5.00,$12.00,$7.00,Tees,,,
Vintage juicy gray heart applique 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,18778,$68.00,80.00%,$68.00,,08-22-2025,$54.40,Jackets,,,,,,,,,,,,0002CF,Hello Kitty White Graphic Tee M (New) WN ,2025-08-27 14:51:54,1,$10.00,$0.00,$10.00,$10.00,Tees,,,
vintage mavi denim 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18819,$30.00,80.00%,$30.00,,08-23-2025,$24.00,Shorts/Jorts,,,,,,,,,,,,00023H,Vtg Been There Done That Cal State Hayward Tee Made in USA ,2025-08-28 12:43:39,1,$12.00,$0.00,$12.00,$12.00,Tees,,,
vintage levi flare denim 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18825,$40.00,80.00%,$40.00,,08-23-2025,$32.00,Jeans ,,,,,,,,,,,,0002H2,Red Sox White Full Zip Hoodie L TO ,2025-08-28 14:51:49,1,$14.00,$9.00,$14.00,$5.00,Hoodies,,,
vintage lucky denim 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18839,$30.00,80.00%,$30.00,,08-24-2025,$24.00,Jeans ,,,,,,,,,,,,0001YQ,The North Face Gray Fur Lined Hoodie ,2025-08-29 16:25:36,1,$14.00,$0.00,$14.00,$14.00,Hoodies,,,
